"ID bat";"Nom du Batiment";"Niveau du batiment";"Bois";"Argile";"Fer";"CC";"Conso cc";"Durée construction";"PC total";"Prod";"Temps de construction (BP)";"Augmentation"
"37";"Manoir ";"15";"37935";"36310";"37935";"13005";"2";"05:06:10";"15";;;
"37";"Manoir ";"16";"50450";"48290";"50450";"17300";"3";"05:55:10";"18";;;
"37";"Manoir ";"17";"67100";"64225";"67100";"23005";"3";"06:52:00";"22";;;
"37";"Manoir ";"18";"89245";"85420";"89245";"30600";"3";"07:58:00";"27";;;
"37";"Manoir ";"19";"118695";"113605";"118695";"40695";"3";"09:14:20";"32";;;
"37";"Manoir ";"20";"157865";"151095";"157865";"54125";"3";"10:43:10";"38";;;
"36";"Fabricant piege";"1";"80";"120";"70";"90";"4";"00:33:20";"1";;;
"36";"Fabricant piege";"2";"100";"155";"90";"115";"2";"00:38:40";"1";;;
"36";"Fabricant piege";"3";"130";"195";"115";"145";"2";"00:44:50";"2";;;
"36";"Fabricant piege";"4";"170";"250";"145";"190";"2";"00:52:00";"2";;;
"36";"Fabricant piege";"5";"215";"320";"190";"240";"2";"01:00:20";"2";;;
"36";"Fabricant piege";"6";"275";"410";"240";"310";"3";"01:10:00";"3";;;
"36";"Fabricant piege";"7";"350";"530";"310";"395";"3";"01:21:10";"4";;;
"36";"Fabricant piege";"8";"450";"675";"395";"505";"3";"01:34:10";"4";;;
"36";"Fabricant piege";"9";"575";"865";"505";"650";"3";"01:49:20";"5";;;
"36";"Fabricant piege";"10";"740";"1105";"645";"830";"3";"02:06:50";"6";;;
"36";"Fabricant piege";"11";"945";"1415";"825";"1065";"3";"02:27:00";"7";;;
"36";"Fabricant piege";"12";"1210";"1815";"1060";"1360";"3";"02:50:30";"9";;;
"36";"Fabricant piege";"13";"1545";"2320";"1355";"1740";"3";"03:17:50";"11";;;
"36";"Fabricant piege";"14";"1980";"2970";"1735";"2230";"3";"03:49:30";"13";;;
"36";"Fabricant piege";"15";"2535";"3805";"2220";"2850";"3";"04:26:20";"15";;;
"36";"Fabricant piege";"16";"3245";"4870";"2840";"3650";"4";"05:08:50";"18";;;
"36";"Fabricant piege";"17";"4155";"6230";"3635";"4675";"4";"05:58:20";"22";;;
"36";"Fabricant piege";"18";"5315";"7975";"4650";"5980";"4";"06:55:40";"27";;;
"36";"Fabricant piege";"19";"6805";"10210";"5955";"7655";"4";"08:02:10";"32";;;
"36";"Fabricant piege";"20";"8710";"13065";"7620";"9800";"4";"09:19:10";"38";;;
"34";"Tailleur de pierre";"1";"155";"130";"125";"70";"2";"00:36:40";"1";;;
"34";"Tailleur de pierre";"2";"200";"165";"160";"90";"1";"00:52:30";"1";;;
"34";"Tailleur de pierre";"3";"255";"215";"205";"115";"1";"01:11:00";"2";;;
"34";"Tailleur de pierre";"4";"325";"275";"260";"145";"1";"01:32:20";"2";;;
"34";"Tailleur de pierre";"5";"415";"350";"335";"190";"1";"01:57:00";"2";;;
"34";"Tailleur de pierre";"6";"535";"445";"430";"240";"2";"02:25:50";"3";;;
"34";"Tailleur de pierre";"7";"680";"570";"550";"310";"2";"02:59:10";"4";;;
"34";"Tailleur de pierre";"8";"875";"730";"705";"395";"2";"03:37:50";"4";;;
"34";"Tailleur de pierre";"9";"1115";"935";"900";"505";"2";"04:22:40";"5";;;
"34";"Tailleur de pierre";"10";"1430";"1200";"1155";"645";"2";"05:14:40";"6";;;
"34";"Tailleur de pierre";"11";"1830";"1535";"1475";"825";"2";"06:15:00";"7";;;
"34";"Tailleur de pierre";"12";"2340";"1965";"1890";"1060";"2";"07:25:00";"9";;;
"34";"Tailleur de pierre";"13";"3000";"2515";"2420";"1355";"2";"08:46:10";"11";;;
"34";"Tailleur de pierre";"14";"3840";"3220";"3095";"1735";"2";"10:20:20";"13";;;
"34";"Tailleur de pierre";"15";"4910";"4120";"3960";"2220";"2";"12:09:40";"15";;;
"34";"Tailleur de pierre";"16";"6290";"5275";"5070";"2840";"3";"14:16:20";"18";;;
"34";"Tailleur de pierre";"17";"8050";"6750";"6490";"3635";"3";"16:43:20";"22";;;
"34";"Tailleur de pierre";"18";"10300";"8640";"8310";"4650";"3";"19:33:50";"27";;;
"34";"Tailleur de pierre";"19";"13185";"11060";"10635";"5955";"3";"22:51:40";"32";;;
"34";"Tailleur de pierre";"20";"16880";"14155";"13610";"7620";"3";"26:41:10";"38";;;
"33";"Palissade";"1";"160";"100";"80";"60";"0";"00:33:20";"1";;;
"33";"Palissade";"2";"205";"130";"100";"75";"0";"00:43:40";"1";;;
"33";"Palissade";"3";"260";"165";"130";"100";"0";"00:55:40";"2";;;
"33";"Palissade";"4";"335";"210";"170";"125";"0";"01:09:30";"2";;;
"33";"Palissade";"5";"430";"270";"215";"160";"0";"01:25:40";"2";;;
"33";"Palissade";"6";"550";"345";"275";"205";"1";"01:44:20";"3";;;
"33";"Palissade";"7";"705";"440";"350";"265";"1";"02:06:10";"4";;;
"33";"Palissade";"8";"900";"565";"450";"340";"1";"02:31:20";"4";;;
"33";"Palissade";"9";"1155";"720";"575";"430";"1";"03:00:30";"5";;;
"33";"Palissade";"10";"1475";"920";"740";"555";"1";"03:34:20";"6";;;
"33";"Palissade";"11";"1890";"1180";"945";"710";"1";"04:13:40";"7";;;
"33";"Palissade";"12";"2420";"1510";"1210";"905";"1";"04:59:10";"9";;;
"33";"Palissade";"13";"3095";"1935";"1545";"1160";"1";"05:52:10";"11";;;
"33";"Palissade";"14";"3960";"2475";"1980";"1485";"1";"06:53:30";"13";;;
"33";"Palissade";"15";"5070";"3170";"2535";"1900";"1";"08:04:40";"15";;;
"33";"Palissade";"16";"6490";"4055";"3245";"2435";"2";"09:27:10";"18";;;
"33";"Palissade";"17";"8310";"5190";"4155";"3115";"2";"11:02:50";"22";;;
"33";"Palissade";"18";"10635";"6645";"5315";"3990";"2";"12:54:00";"27";;;
"33";"Palissade";"19";"13610";"8505";"6805";"5105";"2";"15:02:50";"32";;;
"33";"Palissade";"20";"17420";"10890";"8710";"6535";"2";"17:32:10";"38";;;
"32";"Mur de terre";"1";"120";"200";"0";"80";"0";"00:33:20";"1";;;
"32";"Mur de terre";"2";"155";"255";"0";"100";"0";"00:43:40";"1";;;
"32";"Mur de terre";"3";"195";"330";"0";"130";"0";"00:55:40";"2";;;
"32";"Mur de terre";"4";"250";"420";"0";"170";"0";"01:09:30";"2";;;
"32";"Mur de terre";"5";"320";"535";"0";"215";"0";"01:25:40";"2";;;
"32";"Mur de terre";"6";"410";"685";"0";"275";"1";"01:44:20";"3";;;
"32";"Mur de terre";"7";"530";"880";"0";"350";"1";"02:06:10";"4";;;
"32";"Mur de terre";"8";"675";"1125";"0";"450";"1";"02:31:20";"4";;;
"32";"Mur de terre";"9";"865";"1440";"0";"575";"1";"03:00:30";"5";;;
"32";"Mur de terre";"10";"1105";"1845";"0";"740";"1";"03:34:20";"6";;;
"32";"Mur de terre";"11";"1415";"2360";"0";"945";"1";"04:13:40";"7";;;
"32";"Mur de terre";"12";"1815";"3020";"0";"1210";"1";"04:59:10";"9";;;
"32";"Mur de terre";"13";"2320";"3870";"0";"1545";"1";"05:52:10";"11";;;
"32";"Mur de terre";"14";"2970";"4950";"0";"1980";"1";"06:53:30";"13";;;
"32";"Mur de terre";"15";"3805";"6340";"0";"2535";"1";"08:04:40";"15";;;
"32";"Mur de terre";"16";"4870";"8115";"0";"3245";"2";"09:27:10";"18";;;
"32";"Mur de terre";"17";"6230";"10385";"0";"4155";"2";"11:02:50";"22";;;
"32";"Mur de terre";"18";"7975";"13290";"0";"5315";"2";"12:54:00";"27";;;
"32";"Mur de terre";"19";"10210";"17015";"0";"6805";"2";"15:02:50";"32";;;
"32";"Mur de terre";"20";"13065";"21780";"0";"8710";"2";"17:32:10";"38";;;
"31";"Mur enceinte";"1";"70";"90";"170";"70";"0";"00:33:20";"1";;;
"31";"Mur enceinte";"2";"90";"115";"220";"90";"0";"00:43:40";"1";;;
"31";"Mur enceinte";"3";"115";"145";"280";"115";"0";"00:55:40";"2";;;
"31";"Mur enceinte";"4";"145";"190";"355";"145";"0";"01:09:30";"2";;;
"31";"Mur enceinte";"5";"190";"240";"455";"190";"0";"01:25:40";"2";;;
"31";"Mur enceinte";"6";"240";"310";"585";"240";"1";"01:44:20";"3";;;
"31";"Mur enceinte";"7";"310";"395";"750";"310";"1";"02:06:10";"4";;;
"31";"Mur enceinte";"8";"395";"505";"955";"395";"1";"02:31:20";"4";;;
"31";"Mur enceinte";"9";"505";"650";"1225";"505";"1";"03:00:30";"5";;;
"31";"Mur enceinte";"10";"645";"830";"1570";"645";"1";"03:34:20";"6";;;
"31";"Mur enceinte";"11";"825";"1065";"2005";"825";"1";"04:13:40";"7";;;
"31";"Mur enceinte";"12";"1060";"1360";"2570";"1060";"1";"04:59:10";"9";;;
"31";"Mur enceinte";"13";"1355";"1740";"3290";"1355";"1";"05:52:10";"11";;;
"31";"Mur enceinte";"14";"1735";"2230";"4210";"1735";"1";"06:53:30";"13";;;
"31";"Mur enceinte";"15";"2220";"2850";"5390";"2220";"1";"08:04:40";"15";;;
"31";"Mur enceinte";"16";"2840";"3650";"6895";"2840";"2";"09:27:10";"18";;;
"31";"Mur enceinte";"17";"3635";"4675";"8825";"3635";"2";"11:02:50";"22";;;
"31";"Mur enceinte";"18";"4650";"5980";"11300";"4650";"2";"12:54:00";"27";;;
"31";"Mur enceinte";"19";"5955";"7655";"14460";"5955";"2";"15:02:50";"32";;;
"31";"Mur enceinte";"20";"7620";"9800";"18510";"7620";"2";"17:32:10";"38";;;
"30";"Grande Ecurie";"1";"780";"420";"660";"300";"5";"00:36:40";"2";;;
"30";"Grande Ecurie";"2";"1000";"540";"845";"385";"3";"00:47:30";"3";;;
"30";"Grande Ecurie";"3";"1280";"690";"1080";"490";"3";"01:00:10";"3";;;
"30";"Grande Ecurie";"4";"1635";"880";"1385";"630";"3";"01:14:50";"4";;;
"30";"Grande Ecurie";"5";"2095";"1125";"1770";"805";"3";"01:31:40";"5";;;
"30";"Grande Ecurie";"6";"2680";"1445";"2270";"1030";"3";"01:51:20";"6";;;
"30";"Grande Ecurie";"7";"3430";"1845";"2905";"1320";"3";"02:14:10";"7";;;
"30";"Grande Ecurie";"8";"4390";"2365";"3715";"1690";"3";"02:40:40";"9";;;
"30";"Grande Ecurie";"9";"5620";"3025";"4755";"2160";"3";"03:11:20";"10";;;
"30";"Grande Ecurie";"10";"7195";"3875";"6085";"2765";"3";"03:47:00";"12";;;
"30";"Grande Ecurie";"11";"9210";"4960";"7790";"3540";"4";"04:28:20";"15";;;
"30";"Grande Ecurie";"12";"11785";"6345";"9975";"4535";"4";"05:16:20";"18";;;
"30";"Grande Ecurie";"13";"15085";"8125";"12765";"5805";"4";"06:11:50";"21";;;
"30";"Grande Ecurie";"14";"19310";"10400";"16340";"7430";"4";"07:16:20";"26";;;
"30";"Grande Ecurie";"15";"24720";"13310";"20915";"9505";"4";"08:31:10";"31";;;
"30";"Grande Ecurie";"16";"31640";"17035";"26775";"12170";"4";"09:58:00";"37";;;
"30";"Grande Ecurie";"17";"40500";"21810";"34270";"15575";"4";"11:38:40";"44";;;
"30";"Grande Ecurie";"18";"51840";"27915";"43865";"19940";"4";"13:35:30";"53";;;
"30";"Grande Ecurie";"19";"66355";"35730";"56145";"25520";"4";"15:51:00";"64";;;
"30";"Grande Ecurie";"20";"84935";"45735";"71870";"32665";"4";"18:28:10";"77";;;
"29";"Grande Caserne";"1";"630";"420";"780";"360";"4";"00:33:20";"1";;;
"29";"Grande Caserne";"2";"805";"540";"1000";"460";"2";"00:43:40";"1";;;
"29";"Grande Caserne";"3";"1030";"690";"1280";"590";"2";"00:55:40";"2";;;
"29";"Grande Caserne";"4";"1320";"880";"1635";"755";"2";"01:09:30";"2";;;
"29";"Grande Caserne";"5";"1690";"1125";"2095";"965";"2";"01:25:40";"2";;;
"29";"Grande Caserne";"6";"2165";"1445";"2680";"1235";"3";"01:44:20";"3";;;
"29";"Grande Caserne";"7";"2770";"1845";"3430";"1585";"3";"02:06:10";"4";;;
"29";"Grande Caserne";"8";"3545";"2365";"4390";"2025";"3";"02:31:20";"4";;;
"29";"Grande Caserne";"9";"4540";"3025";"5620";"2595";"3";"03:00:30";"5";;;
"29";"Grande Caserne";"10";"5810";"3875";"7195";"3320";"3";"03:34:20";"6";;;
"29";"Grande Caserne";"11";"7440";"4960";"9210";"4250";"3";"04:13:40";"7";;;
"29";"Grande Caserne";"12";"9520";"6345";"11785";"5440";"3";"04:59:10";"9";;;
"29";"Grande Caserne";"13";"12185";"8125";"15085";"6965";"3";"05:52:10";"11";;;
"29";"Grande Caserne";"14";"15600";"10400";"19310";"8915";"3";"06:53:30";"13";;;
"29";"Grande Caserne";"15";"19965";"13310";"24720";"11410";"3";"08:04:40";"15";;;
"29";"Grande Caserne";"16";"25555";"17035";"31640";"14605";"4";"09:27:10";"18";;;
"29";"Grande Caserne";"17";"32710";"21810";"40500";"18690";"4";"11:02:50";"22";;;
"29";"Grande Caserne";"18";"41870";"27915";"51840";"23925";"4";"12:54:00";"27";;;
"29";"Grande Caserne";"19";"53595";"35730";"66355";"30625";"4";"15:02:50";"32";;;
"29";"Grande Caserne";"20";"68600";"45735";"84935";"39200";"4";"17:32:10";"38";;;
"28";"Comptoir commerce";"1";"1400";"1330";"1200";"400";"2";"00:50:00";"4";;;
"28";"Comptoir commerce";"2";"1790";"1700";"1535";"510";"2";"01:03:00";"4";;;
"28";"Comptoir commerce";"3";"2295";"2180";"1965";"655";"2";"01:18:00";"5";;;
"28";"Comptoir commerce";"4";"2935";"2790";"2515";"840";"2";"01:35:30";"6";;;
"28";"Comptoir commerce";"5";"3760";"3570";"3220";"1075";"2";"01:55:50";"7";;;
"28";"Comptoir commerce";"6";"4810";"4570";"4125";"1375";"2";"02:19:20";"9";;;
"28";"Comptoir commerce";"7";"6155";"5850";"5280";"1760";"2";"02:46:40";"11";;;
"28";"Comptoir commerce";"8";"7880";"7485";"6755";"2250";"2";"03:18:20";"13";;;
"28";"Comptoir commerce";"9";"10090";"9585";"8645";"2880";"2";"03:55:10";"15";;;
"28";"Comptoir commerce";"10";"12915";"12265";"11070";"3690";"2";"04:37:40";"19";;;
"28";"Comptoir commerce";"11";"16530";"15700";"14165";"4720";"3";"05:27:10";"22";;;
"28";"Comptoir commerce";"12";"21155";"20100";"18135";"6045";"3";"06:24:30";"27";;;
"28";"Comptoir commerce";"13";"27080";"25725";"23210";"7735";"3";"07:31:00";"32";;;
"28";"Comptoir commerce";"14";"34660";"32930";"29710";"9905";"3";"08:48:10";"39";;;
"28";"Comptoir commerce";"15";"44370";"42150";"38030";"12675";"3";"10:17:40";"46";;;
"28";"Comptoir commerce";"16";"56790";"53950";"48680";"16225";"3";"12:01:30";"55";;;
"28";"Comptoir commerce";"17";"72690";"69060";"62310";"20770";"3";"14:02:00";"67";;;
"28";"Comptoir commerce";"18";"93045";"88395";"79755";"26585";"3";"16:21:40";"80";;;
"28";"Comptoir commerce";"19";"119100";"113145";"102085";"34030";"3";"19:03:50";"96";;;
"28";"Comptoir commerce";"20";"152445";"144825";"130670";"43555";"3";"22:11:50";"115";;;
"27";"Chambre de tresor";"2";"3630";"3450";"3250";"1245";"2";"02:39:40";"9";;;
"27";"Chambre de tresor";"3";"4570";"4350";"4095";"1570";"2";"03:10:10";"10";;;
"27";"Chambre de tresor";"4";"5760";"5480";"5160";"1980";"2";"03:45:40";"12";;;
"27";"Chambre de tresor";"5";"7260";"6905";"6505";"2495";"2";"04:26:50";"15";;;
"27";"Chambre de tresor";"6";"9145";"8700";"8195";"3145";"3";"05:14:30";"18";;;
"27";"Chambre de tresor";"7";"11525";"10965";"10325";"3960";"3";"06:09:40";"21";;;
"27";"Chambre de tresor";"8";"14520";"13815";"13010";"4990";"3";"07:13:50";"26";;;
"27";"Chambre de tresor";"9";"18295";"17405";"16390";"6290";"3";"08:28:20";"31";;;
"27";"Chambre de tresor";"10";"23055";"21930";"20650";"7925";"3";"09:54:40";"37";;;
"27";"Chambre de tresor";"11";"29045";"27635";"26020";"9985";"3";"11:34:50";"45";;;
"27";"Chambre de tresor";"12";"36600";"34820";"32785";"12580";"3";"13:31:00";"53";;;
"27";"Chambre de tresor";"13";"46115";"43875";"41310";"15850";"3";"15:45:40";"64";;;
"27";"Chambre de tresor";"14";"58105";"55280";"52050";"19975";"3";"18:22:00";"77";;;
"27";"Chambre de tresor";"15";"73210";"69655";"65585";"25165";"3";"21:23:20";"92";;;
"27";"Chambre de tresor";"16";"92245";"87760";"82640";"31710";"4";"24:53:40";"111";;;
"27";"Chambre de tresor";"17";"116230";"110580";"104125";"39955";"4";"28:57:40";"133";;;
"27";"Chambre de tresor";"18";"146450";"139330";"131195";"50340";"4";"33:40:40";"160";;;
"27";"Chambre de tresor";"19";"184530";"175560";"165305";"63430";"4";"39:09:00";"192";;;
"27";"Chambre de tresor";"20";"232505";"221205";"208285";"79925";"3";"45:29:50";"230";;;
"15";"Batiment Principal";"2";"90";"50";"75";"25";"1";"00:43:40";"3";;"96%";
"15";"Batiment Principal";"3";"115";"65";"100";"35";"1";"00:55:40";"3";;"93%";
"15";"Batiment Principal";"4";"145";"85";"125";"40";"1";"01:09:30";"4";;"90%";
"15";"Batiment Principal";"5";"190";"105";"160";"55";"1";"01:25:40";"5";;"86%";
"15";"Batiment Principal";"6";"240";"135";"205";"70";"2";"01:44:20";"6";;"83%";
"15";"Batiment Principal";"7";"310";"175";"265";"90";"2";"02:06:10";"7";;"80%";
"15";"Batiment Principal";"8";"395";"225";"340";"115";"2";"02:31:20";"9";;"77%";
"15";"Batiment Principal";"9";"505";"290";"430";"145";"2";"03:00:30";"10";;"75%";
"15";"Batiment Principal";"10";"645";"370";"555";"185";"2";"03:34:20";"12";;"72%";
"15";"Batiment Principal";"11";"825";"470";"710";"235";"2";"04:13:40";"15";;"69%";
"15";"Batiment Principal";"12";"1060";"605";"905";"300";"2";"04:59:10";"18";;"67%";
"15";"Batiment Principal";"13";"1355";"775";"1160";"385";"2";"05:52:10";"21";;"64%";
"15";"Batiment Principal";"14";"1735";"990";"1485";"495";"2";"06:53:30";"26";;"62%";
"15";"Batiment Principal";"15";"2220";"1270";"1900";"635";"2";"08:04:40";"31";;"60%";
"15";"Batiment Principal";"16";"2840";"1625";"2435";"810";"3";"09:27:10";"37";;"58%";
"15";"Batiment Principal";"17";"3635";"2075";"3115";"1040";"3";"11:02:50";"44";;"56%";
"15";"Batiment Principal";"18";"4650";"2660";"3990";"1330";"3";"12:54:00";"53";;"54%";
"15";"Batiment Principal";"19";"5955";"3405";"5105";"1700";"3";"15:02:50";"64";;"52%";
"15";"Batiment Principal";"20";"7620";"4355";"6535";"2180";"3";"17:32:10";"77";;"50%";
"15";"Batiment Principal";"1";"70";"40";"60";"20";"2";"00:33:20";"2";;"100%";
"14";"Place tournoi";"2";"2240";"2880";"1960";"305";"1";"01:12:40";"1";;;
"14";"Place tournoi";"3";"2865";"3685";"2505";"395";"1";"01:29:20";"2";;;
"14";"Place tournoi";"4";"3670";"3685";"3210";"505";"1";"01:48:30";"2";;;
"14";"Place tournoi";"5";"4700";"6040";"4105";"645";"1";"02:11:00";"2";;;
"14";"Place tournoi";"6";"6015";"7730";"5255";"825";"1";"02:36:50";"3";;;
"14";"Place tournoi";"7";"7695";"9895";"6730";"1055";"1";"03:07:00";"4";;;
"14";"Place tournoi";"8";"9850";"12665";"8615";"1350";"1";"03:42:00";"4";;;
"14";"Place tournoi";"9";"12610";"16215";"11025";"1730";"1";"04:22:30";"5";;;
"14";"Place tournoi";"10";"16140";"20755";"14110";"2215";"1";"05:09:30";"6";;;
"14";"Place tournoi";"11";"20660";"26565";"18065";"2835";"2";"06:04:00";"7";;;
"14";"Place tournoi";"12";"26445";"34000";"23120";"3625";"2";"07:07:00";"9";;;
"14";"Place tournoi";"13";"33850";"43520";"29595";"4640";"2";"08:20:30";"11";;;
"14";"Place tournoi";"14";"43330";"55705";"37880";"5940";"2";"09:45:40";"13";;;
"14";"Place tournoi";"15";"55460";"71305";"48490";"7605";"2";"11:24:20";"15";;;
"14";"Place tournoi";"16";"70990";"91270";"62065";"9735";"2";"13:18:50";"18";;;
"14";"Place tournoi";"17";"90865";"116825";"79440";"12460";"2";"15:31:40";"22";;;
"14";"Place tournoi";"18";"116305";"149540";"101685";"15950";"2";"18:05:40";"27";;;
"14";"Place tournoi";"19";"148875";"191410";"130160";"20415";"2";"21:04:20";"32";;;
"14";"Place tournoi";"20";"190560";"245005";"166600";"26135";"2";"24:31:40";"38";;;
"7";"Fonderie";"1";"200";"450";"510";"120";"6";"01:08:00";"1";;;"5%"
"7";"Fonderie";"2";"360";"810";"920";"215";"3";"02:02:00";"1";;;"10%"
"7";"Fonderie";"3";"650";"1460";"1650";"390";"3";"03:23:00";"2";;;"15%"
"7";"Fonderie";"4";"1165";"2625";"2975";"700";"3";"05:24:30";"2";;;"20%"
